"Pipeline","Amount","Churn","Contract.Length","Has.Ever.Been.Poc","Country","Tier","Industry","Created.On.Platform","No.Of.Conversations.Q1.To.Q3","Avg.Conversation.Rating.Q1.To.Q3","Avg.No.Of.Conversation.Parts.Q1.To.Q3","Created.Campaigns.Q1.To.Q3","Live.Campaigns.Q1.To.Q3","No.Of.Integrations.Q1.To.Q3","Previous.No.Of.Deals","Percentage.Going.Live","Distinct.Game.Types.Used","Distinct.Live.Game.Types.Used","Avg.Unique.Reg.Rate.Q1.To.Q3","Avg.Time.Spent.Q1.To.Q3","Days.Until.First.Campaign","Days.Until.First.Live.Campaign"
"Newbizz Pipeline",26881.7204301075,"0",365,"No","DK","A","Retailers",2018,48,4.97058823529412,28.0425531914894,187,97,5,0,0.518716577540107,16,10,0.521884741244965,175.227758007117,5,7
"Renewal sales pipeline",26881.7204301075,"0",365,"No","DK","A","Retailers",2018,51,4.95652173913043,36.42,218,100,4,1,0.458715596330275,15,9,0.536183979028631,124.78223495702,1,9
"Renewal sales pipeline",26881.7204301075,"0",365,"No","DK","A","Retailers",2018,27,4.90909090909091,36.5384615384615,162,92,3,1,0.567901234567901,12,9,0.410857386539022,39.9243697478992,1,12
"Newbizz Pipeline",4032.25806451613,"0",375,"No","DK","C","NGO/interest organisations/labour unions",2019,16,4.42857142857143,13.8666666666667,9,4,3,0,0.444444444444444,4,2,0.416732801571527,32.6470588235294,19,74
"Renewal sales pipeline",10080.6451612903,"0",365,"Yes","DK","A","Retailers",2018,7,4.75,14.1666666666667,13,1,5,1,0.0769230769230769,4,1,0.367182631923119,7.56756756756757,34,56
"Renewal sales pipeline",10752.688172043,"0",365,"No","DK","A","Retailers",2015,11,4.70372488511426,30.7,25,1,1,0,0.04,10,1,0.540074906367042,49.12,1,213
"Renewal sales pipeline",10752.688172043,"0",365,"No","DK","A","Retailers",2015,15,5,26.25,12,1,3,1,0.0833333333333333,5,1,0.367182631923119,54.3846153846154,29,74
"Renewal sales pipeline",11424.7311827957,"0",365,"No","DK","A","NGO/interest organisations/labour unions",2017,28,4.4,26.1071428571429,69,57,6,1,0.826086956521739,9,8,0.432722747798147,58.4418604651163,5,12
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","Financial services",2017,0,4.70372488511426,26.0515683679166,1,0,1,1,0,1,0,0.367182631923119,0,267,72.8333333333333
"Renewal sales pipeline",6720.43010752688,"0",366,"No","DK","A","Media & entertainment",2017,0,4.70372488511426,26.0515683679166,25,11,2,0,0.44,3,2,0.367182631923119,68.4827586206897,21,26
"Renewal sales pipeline",9408.60215053763,"0",365,"No","DK","A","Media & entertainment",2017,0,4.70372488511426,26.0515683679166,48,24,2,1,0.5,3,2,0.618663594470046,70.2083333333333,1,-305
"Newbizz Pipeline",10829.0322580645,"0",365,"Yes","NL","B","B2B",2019,0,4.70372488511426,26.0515683679166,2,0,1,0,0,2,0,0.367182631923119,40.5,186,72.8333333333333
"Newbizz Pipeline",16801.0752688172,"0",365,"No","DK","Enterprise","B2B",2020,19,4.11111111111111,30.2222222222222,9,3,2,0,0.333333333333333,6,2,0.188506664538271,32.7777777777778,2,94
"Newbizz Pipeline",9139.78494623656,"0",366,"No","DK","Enterprise","Retailers",2019,22,4.72222222222222,22.3333333333333,72,22,7,0,0.305555555555556,13,6,0.598227487912038,29.9864864864865,4,9
"Newbizz Pipeline",8064.51612903226,"0",365,"Yes","DK","B","Consumer brands",2019,2,4,43,2,1,3,0,0.5,1,1,0.181240327216449,71.25,3,30
"Renewal sales pipeline",10080.6451612903,"0",365,"No","DK","A","Retailers",2018,2,4.70372488511426,26.5,47,21,4,1,0.446808510638298,8,2,0.449164882111884,55.360824742268,9,20
"Renewal sales pipeline",10080.6451612903,"0",365,"No","DK","A","Retailers",2018,51,4.58333333333333,37.2127659574468,267,207,7,0,0.775280898876405,13,11,0.423918852826944,43.8701298701299,1,7
"Newbizz Pipeline",6720.43010752688,"0",383,"No","DK","B","Education (university, online training, schools)",2020,27,4.55,20.36,18,2,1,0,0.111111111111111,5,1,0.108638743455497,14.5,21,175
"Renewal sales pipeline",2688.17204301075,"1",366,"No","DK","C","Travel & Leisure",2018,0,4.70372488511426,26.0515683679166,17,4,1,0,0.235294117647059,11,4,0.483186647221767,18.4117647058824,27,146
"Renewal sales pipeline",7392.47311827957,"0",365,"No","DK","B","Travel & Leisure",2016,4,5,26.75,12,6,4,1,0.5,7,4,0.528580347559849,47.8529411764706,9,11
"Newbizz Pipeline",9408.60215053763,"0",366,"No","DK","A","Retailers",2019,0,4.70372488511426,26.0515683679166,9,10,6,0,1.11111111111111,5,5,0.416370415294107,40.4838709677419,40,45
"Renewal sales pipeline",9408.60215053763,"0",365,"No","DK","A","Retailers",2019,0,4.70372488511426,26.0515683679166,5,5,5,1,1,2,2,0.214622931578476,35.0588235294118,5,18
"Newbizz Pipeline",8064.51612903226,"0",365,"No","DK","B","Retailers",2020,30,4.66666666666667,26.6666666666667,76,30,6,0,0.394736842105263,15,7,0.32132023133791,50.3508771929825,3,10
"Renewal sales pipeline",40322.5806451613,"0",366,"No","DK","Enterprise","Consumer brands",2016,44,4.89655172413793,16.0227272727273,63,16,6,0,0.253968253968254,18,6,0.298650816008479,20.7313432835821,5,103
"Renewal sales pipeline",7520.16129032258,"0",365,"Yes","NL","C","Retailers",2019,2,4.70372488511426,24,17,5,1,2,0.294117647058824,11,4,0.342304337466487,46.2941176470588,19,25
"Newbizz Pipeline",8146.84139784946,"0",365,"Yes","NL","C","Retailers",2019,2,4.70372488511426,18,3,6,0,0,2,3,6,0.328927109618802,86.3333333333333,114,193
"Newbizz Pipeline",10026.8817204301,"0",366,"No","NL","A","Retailers",2019,22,4.875,22.1578947368421,62,33,1,0,0.532258064516129,12,12,0.792450525686253,74.2258064516129,21,24
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","A","Education (university, online training, schools)",2019,4,4,10.5,2,1,0,0,0.5,1,1,0.367182631923119,0,21,72.8333333333333
"Renewal sales pipeline",10752.688172043,"0",365,"No","DK","Enterprise","B2B",2014,3,4.5,42,19,7,5,0,0.368421052631579,9,6,0.280104119109737,110.764705882353,135,147
"Newbizz Pipeline",5779.56989247312,"1",366,"No","UK","C","Retailers",2019,0,4.70372488511426,26.0515683679166,14,2,1,0,0.142857142857143,11,2,0.295264623955432,15.4285714285714,3,76
"Renewal sales pipeline",12096.7741935484,"0",365,"No","DK","A","Media & entertainment",2017,1,5,24,3,3,3,1,1,3,3,0.717849587647369,46.75,52,55
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","Enterprise","Retailers",2018,8,5,35.4285714285714,8,4,2,1,0.5,3,3,0.19273270131754,19.2857142857143,56,69
"Newbizz Pipeline",7392.47311827957,"0",638,"No","DK","B","B2B",2020,0,4.70372488511426,26.0515683679166,5,0,0,0,0,4,0,0.367182631923119,0,9,72.8333333333333
"Renewal sales pipeline",7018.81720430107,"0",365,"No","NL","B","B2B",2018,8,4,24.25,49,10,4,0,0.204081632653061,12,4,0.605042360603135,35.4666666666667,1,23
"Renewal sales pipeline",7018.81720430107,"0",365,"No","NL","B","B2B",2018,9,4.85714285714286,31,16,7,4,1,0.4375,6,4,0.183908045977012,35.3529411764706,7,16
"Newbizz Pipeline",10752.688172043,"0",394,"No","DK","B","Retailers",2021,6,5,19.1666666666667,8,7,1,0,0.875,6,6,0.33238821890374,67.5,8,57
"Newbizz Pipeline",6720.43010752688,"1",377,"No","DK","B","Consumer brands",2020,3,5,11,27,8,3,0,0.296296296296296,5,4,0.512906893037234,22.1538461538462,4,15
"Renewal sales pipeline",6720.43010752688,"0",573,"No","DK","A","B2B",2018,22,4.70372488511426,20.6363636363636,8,4,5,1,0.5,5,3,0.293383961873758,17,4,25
"Newbizz Pipeline",13440.8602150538,"0",365,"No","DK","Enterprise","Pharma / Healthcare",2020,14,4.66666666666667,21.4615384615385,42,21,11,0,0.5,10,4,0.326355331067352,48.2097902097902,24,95
"Renewal sales pipeline",5241.93548387097,"0",365,"No","DK","C","NGO/interest organisations/labour unions",2019,0,4.70372488511426,26.0515683679166,8,1,4,1,0.125,4,1,0.367182631923119,25.8888888888889,31,48
"Renewal sales pipeline",5241.93548387097,"0",365,"No","DK","B","Pharma / Healthcare",2018,17,4.69230769230769,30.0714285714286,27,17,2,0,0.62962962962963,9,3,0.143123887589563,5.22222222222222,65,81
"Renewal sales pipeline",5241.93548387097,"0",365,"No","DK","B","Pharma / Healthcare",2018,5,5,35.8,10,6,2,1,0.6,4,4,0.250438702335405,56.8181818181818,8,9
"Renewal sales pipeline",7392.47311827957,"0",365,"No","DK","B","NGO/interest organisations/labour unions",2019,1,5,75,1,1,2,2,1,1,1,0.367182631923119,0,30,72.8333333333333
"Renewal sales pipeline",7392.47311827957,"0",365,"No","DK","B","NGO/interest organisations/labour unions",2019,17,4.42857142857143,26.6,10,7,4,1,0.7,3,3,0.168864377639801,99.125,58,73
"Renewal sales pipeline",8064.51612903226,"0",366,"No","DK","A","Retailers",2017,30,5,20,34,20,5,0,0.588235294117647,7,4,0.470663382259254,68.7446808510638,12,40
"Newbizz Pipeline",6720.43010752688,"0",379,"No","DK","B","Financial services",2021,4,5,36.5,30,6,3,0,0.2,8,2,0.409127607926171,43.2,32,71
"Newbizz Pipeline",12096.7741935484,"0",450,"No","DK","A","Retailers",2017,2,4.70372488511426,18,7,1,4,0,0.142857142857143,5,1,0.532271648418957,10,14,32
"Renewal sales pipeline",3763.44086021505,"0",365,"No","DK","C","Retailers",2018,0,4.70372488511426,26.0515683679166,1,0,0,1,0,1,0,0.367182631923119,0,66,72.8333333333333
"Renewal sales pipeline",20053.7634408602,"0",365,"No","FI","A","Travel & Leisure",2019,6,4.66666666666667,26.1666666666667,11,6,4,1,0.545454545454545,4,4,0.391547274566766,46.1944444444444,16,17
"Newbizz Pipeline",2506.72043010753,"1",458,"No","NL","C","Travel & Leisure",2019,0,4.70372488511426,26.0515683679166,35,5,5,0,0.142857142857143,16,4,0.4106152347885,56.2666666666667,6,69
"Renewal sales pipeline",4704.30107526882,"0",365,"No","DK","B","B2B",2019,7,5,16.2857142857143,18,11,2,0,0.611111111111111,4,3,0.453137467224578,27.8333333333333,3,2
"Renewal sales pipeline",4704.30107526882,"0",365,"No","DK","B","B2B",2019,10,5,19.4444444444444,15,6,1,1,0.4,3,2,0.444902511566425,37.0666666666667,87,137
"Renewal sales pipeline",6720.43010752688,"0",366,"No","DK","A","Financial services",2018,13,4.5,20.2727272727273,34,5,3,0,0.147058823529412,10,4,0.210290503281184,34.4871794871795,6,19
"Renewal sales pipeline",10080.6451612903,"1",365,"No","DK","A","Consumer brands",2019,1,5,24,1,1,1,0,1,1,1,0.158707109820372,28,93,122
"Renewal sales pipeline",10752.688172043,"0",365,"No","DK","A","Retailers",2019,13,4,25.4615384615385,43,15,7,1,0.348837209302326,10,7,0.361002891738134,36.5833333333333,63,89
"Newbizz Pipeline",6048.38709677419,"0",365,"No","DK","C","Pharma / Healthcare",2020,4,4.70372488511426,14.6666666666667,5,1,0,0,0.2,4,1,0.116033755274262,9,23,93
"Renewal sales pipeline",4032.25806451613,"0",365,"No","DK","C","Pharma / Healthcare",2020,0,4.70372488511426,26.0515683679166,3,0,0,1,0,1,0,0.367182631923119,0,33,72.8333333333333
"Newbizz Pipeline",10752.688172043,"1",366,"No","DK","A","Retailers",2019,0,4.70372488511426,26.0515683679166,15,8,2,0,0.533333333333333,8,6,0.28818769161585,41,1,23
"Renewal sales pipeline",12768.8172043011,"0",365,"No","DK","A","B2B",2018,26,4.75,40.4761904761905,25,3,2,0,0.12,15,3,0.741154562383613,44.84,2,143
"Renewal sales pipeline",1344.08602150538,"0",13,"No","DK","A","B2B",2020,39,4.95454545454545,29.5263157894737,33,3,3,1,0.0909090909090909,5,1,0.367182631923119,44.6060606060606,82,169
"Newbizz Pipeline",4704.30107526882,"1",444,"No","DK","C","Retailers",2019,34,5,23.1818181818182,18,12,8,0,0.666666666666667,7,4,0.361687120853013,55.4444444444444,13,29
"Newbizz Pipeline",5241.93548387097,"1",403,"No","DK","C","Travel & Leisure",2020,4,5,38,8,3,3,0,0.375,6,3,0.2146829810901,55.25,76,105
"Newbizz Pipeline",6720.43010752688,"0",411,"No","DK","B","Education (university, online training, schools)",2020,8,5,22.875,22,2,4,0,0.0909090909090909,8,1,0.367182631923119,10.8148148148148,15,84
"Renewal sales pipeline",6586.02150537634,"0",365,"No","DK","B","Consumer brands",2019,6,5,21,16,5,2,1,0.3125,10,3,0.40489307562455,57.3125,24,39
"Newbizz Pipeline",6586.02150537634,"0",425,"No","DK","B","Consumer brands",2019,11,4.55555555555556,38.6,15,2,1,0,0.133333333333333,7,2,0.317059219285644,6.73333333333333,5,26
"Newbizz Pipeline",5241.93548387097,"0",382,"No","DK","C","Travel & Leisure",2019,5,3.33333333333333,18.75,17,2,1,0,0.117647058823529,3,2,0.306502654423038,49.3529411764706,3,107
"Renewal sales pipeline",5241.93548387097,"0",365,"No","DK","C","Travel & Leisure",2019,9,5,25,11,2,2,2,0.181818181818182,4,2,0.130240856378234,50.9230769230769,69,140
"Renewal sales pipeline",12096.7741935484,"0",365,"Yes","DK","A","Retailers",2018,8,5,23.7142857142857,85,69,3,2,0.811764705882353,11,7,0.358986564979468,44.3830845771144,5,6
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","C","Media & entertainment",2018,0,4.70372488511426,26.0515683679166,2,1,2,2,0.5,1,1,0.367182631923119,4,1,72.8333333333333
"Renewal sales pipeline",13440.8602150538,"0",365,"No","DK","A","NGO/interest organisations/labour unions",2020,1,5,31,4,0,2,1,0,2,0,0.367182631923119,0,98,72.8333333333333
"Renewal sales pipeline",10080.6451612903,"0",364,"No","DK","A","NGO/interest organisations/labour unions",2019,36,4.82352941176471,26.6,35,27,6,0,0.771428571428571,9,7,0.374000099921639,63.2068965517241,22,55
"Renewal sales pipeline",16801.0752688172,"0",365,"No","DK","A","Retailers",2016,2,4.70372488511426,28.5,58,42,7,0,0.724137931034483,10,10,0.402129567317664,44.4104046242775,12,22
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","B","NGO/interest organisations/labour unions",2018,19,4.38461538461539,28.5,20,8,4,1,0.4,4,2,0.233145015473115,43.4642857142857,19,43
"Newbizz Pipeline",5264.11290322581,"0",426,"No","FI","A","Retailers",2020,10,4.66666666666667,25.9,13,4,6,0,0.307692307692308,8,4,0.517411375352105,35.72,24,28
"Renewal sales pipeline",8064.51612903226,"0",365,"No","DK","A","Retailers",2016,4,4.5,41,27,19,0,1,0.703703703703704,13,8,0.595313658632677,55.9259259259259,4,9
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","A","Retailers",2016,19,4.81818181818182,32.1052631578947,138,60,5,0,0.434782608695652,11,9,0.582946742063439,70.8054474708171,1,33
"Newbizz Pipeline",18500,"0",365,"No","FI","A","Retailers",2021,2,4.70372488511426,11.5,2,0,2,0,0,2,0,0.367182631923119,0,11,72.8333333333333
"Renewal sales pipeline",10752.688172043,"0",365,"No","DK","A","Financial services",2017,5,3,23,40,22,4,1,0.55,1,1,0.270162832542836,44.5357142857143,9,10
"Renewal sales pipeline",3360.21505376344,"0",366,"No","DK","C","Travel & Leisure",2017,7,4.6,26.4285714285714,5,5,1,0,1,4,5,0.516711423889085,57,71,82
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","Travel & Leisure",2017,2,5,27.5,4,3,1,1,0.75,4,3,0.479632603312181,35.25,144,147
"Renewal sales pipeline",6720.43010752688,"0",457,"No","DK","A","Travel & Leisure",2018,0,4.70372488511426,26.0515683679166,1,1,0,0,1,1,1,0.367182631923119,10,113,72.8333333333333
"Newbizz Pipeline",20161.2903225806,"0",365,"No","DK","A","Travel & Leisure",2018,0,4.70372488511426,26.0515683679166,1,0,0,1,0,1,0,0.367182631923119,0,36,72.8333333333333
"Renewal sales pipeline",5013.44086021505,"0",365,"No","FI","B","Retailers",2019,12,4,28.1666666666667,11,5,2,0,0.454545454545455,8,3,0.58808256636334,45.8333333333333,10,217
"Renewal sales pipeline",5376.34408602151,"0",365,"No","DK","B","Media & entertainment",2018,2,4.70372488511426,125,5,3,3,1,0.6,3,2,0.509062464227114,92.2857142857143,14,62
"Renewal sales pipeline",6500,"0",365,"No","NL","B","Media & entertainment",2020,10,4.5,24.5555555555556,19,7,7,1,0.368421052631579,13,4,0.442093838519532,39.8490566037736,22,30
"Renewal sales pipeline",16801.0752688172,"0",457,"No","DK","A","Financial services",2017,1,4.70372488511426,11,1,0,0,1,0,1,0,0.367182631923119,0,13,72.8333333333333
"Renewal sales pipeline",11424.7311827957,"0",365,"No","DK","A","Retailers",2018,16,4.83333333333333,19,28,8,5,1,0.285714285714286,10,3,0.507472515768565,51.6756756756757,6,11
"Newbizz Pipeline",3763.44086021505,"1",428,"No","DK","B","NGO/interest organisations/labour unions",2019,0,4.70372488511426,26.0515683679166,4,1,0,0,0.25,1,1,0.619328552803129,61.25,36,171
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","B2B",2019,10,4.5,17.1,11,1,2,0,0.0909090909090909,4,1,0.336535374935799,55.0909090909091,32,128
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","B2B",2019,8,5,36.375,3,2,1,1,0.666666666666667,1,1,0.407975128413084,134.666666666667,11,45
"Newbizz Pipeline",10080.6451612903,"0",365,"No","DK","A","Retailers",2019,5,4.8,37.8,7,2,0,0,0.285714285714286,5,2,0.287678390062283,28.1428571428571,4,33
"Renewal sales pipeline",7392.47311827957,"0",365,"No","DK","B","NGO/interest organisations/labour unions",2019,13,4.22222222222222,20.1538461538462,93,11,2,1,0.118279569892473,8,5,0.533720611621177,55.2340425531915,14,27
"Renewal sales pipeline",7392.47311827957,"0",365,"No","DK","B","NGO/interest organisations/labour unions",2019,32,4.6,18.9032258064516,108,12,8,0,0.111111111111111,16,5,0.508085106486406,41.9612403100775,4,61
"Renewal sales pipeline",6720.43010752688,"0",365,"No","DK","Enterprise","Telecommunications / Broadband/internet",2017,10,5,49.6,2,3,4,0,1.5,2,3,0.308852978714686,47.5714285714286,191,202
"Renewal sales pipeline",8064.51612903226,"0",365,"No","DK","Enterprise","Telecommunications / Broadband/internet",2017,11,5,25.7272727272727,7,7,5,1,1,3,4,0.244807534628433,64.4193548387097,15,68
"Renewal sales pipeline",8064.51612903226,"0",365,"No","DK","B","Financial services",2014,1,5,80,2,0,1,1,0,1,0,0.367182631923119,13.5,114,72.8333333333333
"Renewal sales pipeline",8064.51612903226,"0",365,"No","DK","B","Financial services",2014,7,5,21.8571428571429,5,4,2,0,0.8,2,2,0.0604217029696,16,148,177
"Renewal sales pipeline",24193.5483870968,"0",365,"No","DK","A","Media & entertainment",2018,22,4.54545454545455,20.7142857142857,1,0,1,0,0,1,0,0.367182631923119,0,224,72.8333333333333
"Renewal sales pipeline",8736.55913978495,"0",365,"No","DK","B","Retailers",2017,23,5,57.1818181818182,6,7,2,1,1.16666666666667,3,3,0.534544068164119,74.5,45,58
"Renewal sales pipeline",8736.55913978495,"0",366,"No","DK","B","Retailers",2017,23,4.5,38.7619047619048,9,4,2,0,0.444444444444444,4,2,0.307989786697305,46.9,22,83
"Renewal sales pipeline",3360.21505376344,"0",365,"No","DK","C","Financial services",2017,8,4.85714285714286,14.75,9,8,1,0,0.888888888888889,6,6,0.51742287119507,66.8888888888889,1,10
